aae	Geophysical Observatory, Adis Abeba University, Ethiopia
aam	University of Michigan, Ann Arbor, USA
aci	Universita di Calabria, Cosenza, Italy
acp	Autoridad del Canal de Panama, Balboa-Ancon, Panama
ade	Primary Industries and Resources SA, Adelaide, S.A., Australia
ags	USGS Alaska Seismic Project, Menlo Park, California, USA
ak	Alaska Earthquake Center (aka AEI, AEIC)
alg	CRAAG, Alger-Bouzareah, Algeria
alq	Albuquerque Seismological Laboratory, Albuquerque, New Mexico, USA
anza	Anza Seismic Network, IGPP, UC San Diego, La Jolla, California, USA
aro	Observatoire Geophysique d'Arta, Djibouti
asrs	GSRAS Siberian Branch, Altay-Sayan Seis. Ctr., Novosibirsk, Russia
at	National Tsunami Warning Center (aka ATWC)
ath	National Observatory of Athens, Greece
atl	Georgia Institute of Technology, Atlanta, USA
atlas	USGS ShakeMap Atlas
atx	University of Texas Institute for Geophysics, Austin, USA
aust	Geoscience Australia, Canberra, ACT, Australia
av	Alaska Volcano Observatory
awib	Alfred Wegener Inst. of Polar and Maine Research, Bremerhaven, Germany
azer	Rep. Center of Seismic Survey, Azerbaijan Academy of Science, Baku
azur	Geosciences Azur, Universite de Nice Sophia-Antipolis, Valbonne, France
bari	Osservatorio Sismologico, Universita degli Studi di Bari, Italy
basv	British Antarctic Survey, Cambridge, England, UK
bdf	Observatorio Sismologico, Universidade de Brasilia, Brazil
belr	Inst. of Geochem. and Geophysics, Belarus Academy of Science, Minsk
beo	Seismological Survey of Serbia, Belgrade, Serbia
ber	Institutt for geovitenskap, Universitetet i Bergen, Norway
bgrd	Bundesanstalt fur Geowissenschaften und Rohstoffe, Hannover, Germany
bgs	British Geological Survey, Edinburgh, United Kingdom
bhd	Seismology Unit, Scientific Research Council, Baghdad, Iraq
bhky	University of Kentucky, Lexington, USA
bhl	Conseil National de la Recherche Scientifique, Beirut, Lebanon
bji	China Earthquake Administration, Beijing, China
bkk	Meteorological Department, Bangkok, Thailand
bkn	Procurement Executive, Ministry of Defence, Blacknest, UK
bla	Virginia Polytechnic Institute and State University, Blacksburg, USA
blmy	Indian Point Network, Woodward-Clyde Consultants, New Jersey, USA
bly	Institute for Material Testing, Banja Luka, Bosnia and Herzegovina
bmu	Bahrain Meteorological Service, Bahrain
bng	Inst. de Recherche pour le Developpement, Bangui, Cen. African Rep.
bns	Geologisches Inst. der Universitat Koln, Bergisch Gladbach, Germany
bog	Instituto Geofisico, Universidad Javeriana, Bogota, Colombia
bou	University of Colorado, Boulder, USA
bra	Geofyzikalny ustav SAV, Bratislava, Slovakia
brg	Seismologisches Observatorium, Berggiesshubel, Germany
brk	University of California, Berkeley, USA
brl	Freie Universitat Berlin, Berlin, Germany
brs	University of Queensland, Brisbane, Australia
bse	Boise State University, Idaho, USA
buc	National Institute for Earth Physics, Bucharest-Magurele, Romania
bud	Hungarian Seismological Institute, Budapest
bug	Ruhr-Universitaet, Bochum, Germany
bul	Goetz Observatory, Bulawayo, Zimbabwe
but	Montana Bureau of Mines and Geology, Butte, USA
bykl	GSRAS Siberian Branch, Baykal Regional Seis. Center, Irkutsk, Russia
byt	Central Institute of Mines, Katowice, Poland
cam	Massachusetts Institute of Technology, Cambridge, USA
can	Australian National University, Canberra, ACT, Australia
car	FUNVISIS, Caracas, Venezuela
casc	Central American Seismic Center, San Jose, Costa Rica
cat	Instituto Scienze della Terra, Catania, Italy
cdmg	California Division of Mines and Geology, Sacramento, USA
cdpj	Nat. Research Ctr for Disaster Prevention, Ibaraki-ken, Japan--now NIED
cdr	Commissariat a l'Energie Atomique (CEA) Fontenay aux Roses, France
cdwr	California Department of Water Resources, Sacramento, USA
cels	Comision Hidroelectrica del Rio Lempa, El Salvador
ceri	Center for Earthquake Research and Information, Memphis, Tennessee
cff	Inst. et Observatoire de Physique du Globe, Clermont-Ferrand, France
cgs	California Geological SurveyCalifornia Strong Motion Instrumentation Program
chc	University of North Carolina, Chapel Hill, USA
ci	California Integrated Seismic Network: Southern California Seismic Network (Caltech, USGS Pasadena, and Partners) (aka PAS)
cll	Geophysikalisches Observatorium, Univ. Leipzig, Collm, Germany
cnrm	Centre National de la Recherche Scient. et Tech., Rabat, Morocco
cor	College of Oceanography, Oregon State University, Corvallis, USA
crt	Instituto Andaluz de Geofisica, Universidad de Granada, Spain
csc	University of South Carolina, Columbia, USA
csem	Centre Sismologique Euro-Mediterraneen, Bruyeres-le-Chatel, France
css	Geological Survey Department, Nicosia, Cyprus
dal	Southern Methodist University, Dallas, Texas, USA
dbn	Koninkijk Nederlands Meteorologisch Instituut, De Bilt, Netherlands
dda	Directorate of Disaster Affairs, Lodumlu, Ankara, Turkey
desu	CADAFE, Desarrollo Uribante Caparo (DESURCA), San Cristobal, Venezuela
dhmr	National Seismological Observatory Center, Dhamar, Yemen
dias	Dublin Institute for Advanced Studies, Ireland
dja	Badan Meteorologi dan Geofisika, Jakarta, Indonesia
dme	Department of Minerals and Energy, Pretoria, South Africa
dmn	Department of Mines and Geology, Kathmandu, Nepal
dngm	Direccao Nacional de Geologia, Maputo, Mozambique
dnk	Danmarks og Gronlands Geologiske Undersogelse, Copenhagen, Denmark
doe	US Department of Energy (and predecessors) -- explosions
dri	Disaster Prevention Research Institute, Kyoto University, Japan
drs	GSRAS, Dagestan Regional Seismological Center, Makhachkala, Russia
dsit	State Water Works Division (DSI), Ankara, Turkey
dtm	Carnegie Institution of Washington, Washington, DC, USA
duke	Duke Power Company, South Carolina, USA
ecx	RESNOM, CICESE, Ensenada, Baja California, Mexico
edm	University of Alberta, Edmonton, Canada
eni	Ente Nazionale Idrocarburi, Italy
ent	Geological Survey and Mines Department, Entebbe, Uganda
ept	Kidd Seismological Observatory, University of Texas, El Paso, USA
erc	Centro Ettore Majorana, Erice, Italy
erij	Earthquake Research Institute, Univ. of Tokyo, Japan
euo	Department of Geological Sciences, University of Oregon, Eugene, USA
ew	ShakeAlert&circledR Earthquake Early Warning System (USGS and university partners)
exp	Explosion parameters from any group other than DOE or predecessors
fbb	Geologisches Landesamt Baden-Wuerttemberg (LEDBW), Freiburg, Germany
fdf	IPG Observatoire Geophysique, St. Pierre, Martinique
fir	Universita Degli Studi di Firenze, Firenze, Italy
flag	Arizona Earthquake Information Center, Flagstaff, USA
fnet	F-net Broadband Seismograph Network, University of Tokyo, Japan
fog	Osservatorio V. Nigri, Foggia, Italy
fur	Geophysikalisches Obs. der Univ. Muenchen, Fuerstenfeldbruck, Germany
gar	Complex Seismological Expedition, Garm, Tajikistan
gbzt	TUBITAK, Marmara Research Center, Gebze, Turkey
gcg	INSIVUMEH, Guatemala City, Guatemala
gcmt	Lamont-Doherty Earth Observatory Global CMT project, New York, USA
gen	Dipart. Studio del Territorio e Risorse, Universita di Genova, Italy
geot	Teledyne Geotech Corporation, Garland, Texas, USA
gfu	Geofyzikalni ustav Akademie vid Ceske republiky, Praha, Czech Republic
gfz	GeoForschungsZentrum Potsdam, Telegrafenberg, Potsdam, Germany
gia	Geophysical Institute, Univ. of Alaska, Fairbanks, USA
gii	Geophysical Institute of Israel, Lod, Israel
gol	Geophysics Department, Colorado School of Mines, Golden, USA
gom	Observatoire Volcanologique de Goma, Goma, Dem. Republic of the Congo
grc	Observatoire Sismologique, Garchy, France
grf	BGR, Zentralobservatorium Graefenberg, Erlangen, Germany
grn	Lab. de Geophysique Interne et de Tectonophysique, Grenoble, France
gsdm	Geological Survey Department of Malawi, Zomba, Malawi
guc	Departamento de Geofisica, Universidad de Chile, Santiago
guv	CVG Electrificacion del Caroni (EDELCA) Guri, Venezuela
hacu	Hacettepe University, Ankara, Turkey
hdc	Universidad Nacional, Campus Omar Dengo, Heredia, Costa Rica
hel	Seismologian Laitos, Helsingin Yliopisto, Helsinki, Finland
hfs	The Swedish Defence Research Agency, FOI, Stockholm, Sweden
hig	Hawaii Institute of Geophysics, Honolulu, USA
hkc	Hong Kong Observatory, Kowloon, Hong Kong, China
